Result Log

problem file path: problems/d2.lup
solution file path: solutions/d2-100-50-fps-plus-trunc-4obj.txt
random seed: 1602437534166
search strategy: moea
number of runs per experiment: 30
num_fitness_evals_per_run: 10000
fitness function: 4_obj
fitness sharing: False
crowding: False
initialization method: validity_forced
mu: 100
lambda: 50
p_c: 1.0
p_mchild: 0.7
p_m: 0.005
mutation rate strategy: fixed
parent selection method: fitness_proportional_selection
survival strategy: plus
survival selection method: truncation
termination method: number_of_evals

Run 1
3300	108.31	161.0	-6.51	0.0	-21.32	-14.0	-17.37	-2.0
3350	108.16	161.0	-6.49	0.0	-21.28	-14.0	-17.33	-2.0
3400	109.46	161.0	-6.42	0.0	-21.19	-14.0	-17.44	-2.0
3450	110.27	161.0	-6.47	0.0	-21.11	-14.0	-17.6	-2.0
3500	110.39	161.0	-6.42	0.0	-21.13	-14.0	-17.62	-2.0
3550	107.91	161.0	-6.47	0.0	-21.28	-14.0	-17.33	-2.0
3600	108.93	161.0	-6.49	0.0	-21.23	-14.0	-17.49	-2.0
3650	110.07	161.0	-6.65	0.0	-21.23	-14.0	-17.76	-2.0
3700	110.97	161.0	-6.66	0.0	-21.13	-14.0	-17.89	-2.0
3750	111.0	161.0	-6.74	0.0	-21.12	-14.0	-17.93	-2.0
3800	109.82	161.0	-6.77	0.0	-21.19	-14.0	-17.77	-2.0
3850	107.23	161.0	-5.67	0.0	-21.52	-14.0	-16.69	-2.0
3900	105.79	161.0	-5.7	0.0	-21.48	-14.0	-16.36	-2.0
3950	105.75	161.0	-5.59	0.0	-21.5	-14.0	-16.31	-2.0
4000	106.88	161.0	-5.63	0.0	-21.52	-14.0	-16.45	-2.0
4050	106.7	161.0	-5.57	0.0	-21.62	-14.0	-16.38	-2.0
4100	105.42	161.0	-4.68	0.0	-21.59	-14.0	-15.49	-2.0
4150	106.63	161.0	-4.78	0.0	-21.44	-14.0	-15.74	-2.0
4200	105.69	161.0	-4.86	0.0	-21.3	-14.0	-15.82	-2.0
4250	107.94	161.0	-5.0	0.0	-21.22	-14.0	-16.25	-2.0
4300	108.15	161.0	-5.07	0.0	-21.21	-14.0	-16.33	-2.0
4350	107.14	161.0	-4.63	0.0	-21.25	-14.0	-16.02	-2.0
4400	105.4	161.0	-4.13	0.0	-21.22	-14.0	-15.36	-2.0
4450	105.77	161.0	-4.27	0.0	-21.21	-14.0	-15.37	-2.0
4500	106.33	161.0	-4.41	0.0	-21.17	-14.0	-15.56	-2.0
4550	106.56	161.0	-5.05	0.0	-20.72	-14.0	-16.21	-2.0
4600	105.2	161.0	-4.63	0.0	-20.88	-14.0	-15.64	-2.0
4650	106.69	161.0	-4.82	0.0	-20.75	-14.0	-16.01	-2.0
4700	105.69	161.0	-4.68	0.0	-20.78	-14.0	-15.78	-2.0
4750	105.53	161.0	-4.26	0.0	-20.86	-14.0	-15.46	-2.0
4800	104.15	161.0	-4.19	0.0	-20.99	-14.0	-15.17	-2.0
4850	107.32	161.0	-4.49	0.0	-20.43	-14.0	-16.0	-2.0
4900	108.37	161.0	-4.49	0.0	-20.25	-14.0	-16.15	-2.0
4950	108.75	161.0	-4.77	0.0	-20.16	-14.0	-16.47	-2.0
5000	107.19	161.0	-4.22	0.0	-20.3	-14.0	-15.86	-2.0
5050	106.5	161.0	-4.11	0.0	-20.38	-14.0	-15.62	-2.0
5100	109.73	161.0	-4.57	0.0	-20.17	-14.0	-16.43	-2.0
5150	109.11	161.0	-4.53	0.0	-20.22	-14.0	-16.33	-2.0
5200	109.0	161.0	-4.47	0.0	-20.15	-14.0	-16.3	-2.0
5250	109.14	161.0	-4.53	0.0	-20.21	-14.0	-16.32	-2.0
5300	108.52	161.0	-4.41	0.0	-20.27	-14.0	-16.13	-2.0
5350	108.98	161.0	-4.37	0.0	-20.25	-14.0	-16.17	-2.0
5400	108.01	161.0	-4.13	0.0	-20.34	-14.0	-15.83	-2.0
5450	108.44	161.0	-4.25	0.0	-20.32	-14.0	-16.0	-2.0
5500	107.14	161.0	-3.67	0.0	-20.34	-14.0	-15.36	-2.0
5550	107.05	161.0	-3.66	0.0	-20.38	-14.0	-15.31	-2.0
5600	104.64	161.0	-3.48	0.0	-20.51	-14.0	-14.8	-2.0
5650	105.1	161.0	-3.5	0.0	-20.48	-14.0	-14.9	-2.0
5700	105.8	161.0	-3.46	0.0	-20.51	-14.0	-14.93	-2.0
5750	105.44	161.0	-3.47	0.0	-20.4	-14.0	-14.97	-2.0
5800	106.07	161.0	-3.49	0.0	-20.46	-14.0	-15.01	-2.0
5850	106.62	161.0	-3.54	0.0	-20.34	-14.0	-15.1	-2.0
5900	106.98	161.0	-3.47	0.0	-20.58	-14.0	-15.0	-2.0
5950	108.25	161.0	-3.51	0.0	-20.33	-14.0	-15.3	-2.0
6000	108.87	161.0	-3.59	0.0	-20.11	-14.0	-15.59	-2.0
6050	109.16	161.0	-3.59	0.0	-20.17	-14.0	-15.57	-2.0
6100	109.54	161.0	-3.86	0.0	-20.19	-14.0	-15.81	-2.0
6150	109.14	161.0	-3.92	0.0	-20.02	-14.0	-16.02	-2.0
6200	109.48	161.0	-4.31	0.0	-19.97	-14.0	-16.34	-2.0
6250	109.57	161.0	-4.72	0.0	-20.09	-14.0	-16.61	-2.0
6300	108.61	161.0	-4.85	0.0	-20.19	-14.0	-16.53	-2.0
6350	105.49	161.0	-4.65	0.0	-20.21	-14.0	-16.0	-2.0
6400	108.27	161.0	-4.88	0.0	-19.89	-14.0	-16.58	-2.0
6450	111.35	161.0	-5.05	0.0	-19.55	-14.0	-17.14	-2.0
6500	111.56	161.0	-4.87	0.0	-19.56	-14.0	-17.01	-2.0
6550	110.67	161.0	-4.41	0.0	-19.74	-14.0	-16.47	-2.0
6600	111.11	161.0	-4.71	0.0	-19.63	-13.0	-16.73	-2.0
6650	113.3	161.0	-4.74	0.0	-19.48	-13.0	-17.06	-2.0
6700	113.01	161.0	-4.64	0.0	-19.62	-13.0	-16.84	-2.0
6750	112.53	161.0	-4.54	0.0	-19.62	-13.0	-16.69	-2.0
6800	112.47	161.0	-4.61	0.0	-19.68	-13.0	-16.69	-2.0
6850	114.55	161.0	-4.88	0.0	-19.31	-13.0	-17.3	-2.0
6900	113.61	161.0	-4.88	0.0	-19.39	-13.0	-17.19	-1.0
6950	112.73	161.0	-4.27	0.0	-19.51	-13.0	-16.63	-1.0
7000	111.61	161.0	-3.95	0.0	-19.48	-13.0	-16.27	-1.0
7050	111.83	161.0	-4.03	0.0	-19.52	-13.0	-16.33	-1.0
7100	112.75	161.0	-4.16	0.0	-19.38	-13.0	-16.56	-1.0
7150	113.25	161.0	-4.27	0.0	-19.42	-13.0	-16.66	-1.0
7200	113.0	161.0	-4.22	0.0	-19.43	-13.0	-16.58	-1.0
7250	112.98	161.0	-4.19	0.0	-19.38	-13.0	-16.56	-1.0
