127	-6	0	-32
127	-4	-1.0	-31
127	-2	-2.0	-30
127	-2	-2.0	-30
126	-4	0	-31
127	-4	-1.0	-31
127	-4	-1.0	-31
127	-2	-2.0	-30
127	0	-3.0	-29
127	-6	0	-32
127	-4	-1.0	-31
127	-4	-1.0	-31
126	-2	-1.0	-30
127	-2	-2.0	-30
127	-4	-1.0	-31
126	-2	-1.0	-30
126	-2	-1.0	-30
127	-4	-1.0	-31
126	-2	-1.0	-30
127	-2	-2.0	-30
126	0	-2.0	-29
127	-6	0	-32
127	-2	-2.0	-30
127	-2	-2.0	-30
126	-4	0	-31
127	-2	-2.0	-30
127	-2	-2.0	-30
127	0	-3.0	-29
126	-2	-1.0	-30
127	-4	-1.0	-31
127	-4	-1.0	-31
127	0	-3.0	-29
127	-4	-1.0	-31
127	0	-3.0	-29
127	-6	0	-32
126	-2	-1.0	-30
126	-4	0	-31
126	-2	-1.0	-30
127	-4	-1.0	-31
127	-6	0	-32
127	-2	-2.0	-30
127	0	-3.0	-30
127	-2	-2.0	-30
126	-2	-1.0	-30
127	-2	-2.0	-30
127	-2	-2.0	-30
127	-4	-1.0	-31
126	0	-2.0	-29
127	-4	-1.0	-31
126	-2	-1.0	-30
127	-4	-1.0	-31
127	-4	-1.0	-31
127	-4	-1.0	-31
126	-4	0	-31
126	-4	0	-31
127	0	-3.0	-29
127	-4	-1.0	-31
127	0	-3.0	-29
127	0	-3.0	-29
127	-6	0	-32
126	0	-2.0	-29
127	-6	0	-32
127	-4	-1.0	-31
126	-2	-1.0	-30
127	-2	-2.0	-30
127	0	-3.0	-29
126	-2	-1.0	-30
127	-4	-1.0	-31
127	-2	-2.0	-30
127	0	-3.0	-29
127	-2	-2.0	-30
127	-2	-2.0	-30
127	0	-3.0	-29
126	0	-2.0	-29
126	-4	0	-31
127	-6	0	-32
127	-4	-1.0	-31
127	-2	-2.0	-30
127	-6	0	-32
127	-4	-1.0	-31
127	-4	-1.0	-31
127	-4	-1.0	-31
126	0	-2.0	-29
127	-4	-1.0	-31
127	-4	-1.0	-31
127	-4	-1.0	-31
126	-2	-1.0	-30
127	-2	-2.0	-30
126	-4	0	-31
127	-4	-1.0	-31
127	-6	0	-32
127	-4	-1.0	-31
127	-2	-2.0	-30
126	-2	-1.0	-30
127	0	-3.0	-29
127	-6	0	-32
127	0	-3.0	-30
127	-4	-1.0	-31
127	0	-3.0	-29
127	-4	-1.0	-31
127	-4	-1.0	-31
127	0	-3.0	-29
127	-6	0	-32
127	-4	-1.0	-31
126	-2	-1.0	-30
127	-2	-2.0	-30
127	-4	-1.0	-31
127	-2	-2.0	-30
126	-2	-1.0	-30
127	-6	0	-32
127	-2	-2.0	-30
126	-4	0	-31
127	-4	-1.0	-31
127	-4	-1.0	-31
127	-4	-1.0	-31
126	-2	-1.0	-30
127	-6	0	-32
127	-6	0	-32
126	-2	-1.0	-30
127	-2	-2.0	-30
127	-4	-1.0	-31
126	-4	0	-31
127	-4	-1.0	-31
126	-2	-1.0	-30
127	-4	-1.0	-31
127	-4	-1.0	-31
126	-2	-1.0	-30
127	-4	-1.0	-31
127	-4	-1.0	-31
127	-4	-1.0	-31
127	-4	-1.0	-31
127	-4	-1.0	-31
